id,text,label
0,많은 것에 대해 배웠다. 캐리와 빅이 행복하길..♥,1
1,독일 왕실 보석을 둘러싼 소소한 두뇌싸움,0
2,많은 걸 담아내려는 욕심이 보여서 보는데 불편함이 있었지만 그래도 두 남배우들 연기는 최고였고 감동적이고 보고나서 많은 걸 깨닫게 해주는 영화다 난 엄청 좋게 봄,1
3,진짜재밌어요.ㅋ,1
4,마르갸~릐~~~띠~~,1
5,잔잔하면서 슬프고 여운이 길게 남네요..,1
6,드래곤볼은 미국의 슈퍼맨 배트맨과 같은 위상을 가지고 있다,1
7,이영화는전설이다흐우너어ㅏㅇ,0
8,본지 모르고 또 본 영화 내취향 아님,0
9,오랜만에 참 가슴 훈훈한 영화여써여!!,1
10,완전 잼있고 감동적이에요!!ㅠㅠ 저 울었어요!!ㅠㅠ,1
11,성형수술이 절실히 필요한 '페이스' 를 가진 영화..,0
12,애들이 어른들을 계몽시키고 문제를 해결하는 전형적인 아동영화. 초딩들이 좋아할만한 가족영화 같은데 조금 보다가 포기,0
13,그때당시로는혁신이였을듯 근데이거시리즈물이줄이야,1
14,주인공이 정말 눈에 확 들어 왔다 아직도 이만한 배역이 없으니,1
15,영화가 너무 평가절하 되있네. 평소에 고든 레빗 좋아해서 평점안보고 봤는데 7점대 초반까지는 아닌듯,1
16,너무 너무 재밌고 웃게 해줘서 정말 고마운 프로그램 인것 같아요~~~~ ㅎㅎㅎㅎ,1
17,속았다! 사랑에 대한 사색을 담은것처럼 포장한 B급 에로영화! 이게 평점 10점이라니 무조건 깍아야해요,0
18,아니 이영화는 한장면도 빠짐없이 교훈과 감동을 주는 영화인데 평점이 이리 낮은가..이 영화에 가족간의 사랑이 잘 돋보이는 내용일 터인더 약간의 공포성도 있지만 소심이 아니라면 볼 수 있는 내용일테인데 이 평점은 말이 안된다.,1
19,이런류 좋아한다. 산만하지 않고 잔잔한게 ost도 좋고...스토리도 긴장감있고 좋았음...,1
20,댜 재미없뎄는데 왜 나만 재미있게 본거지ㅋ 정아가너무 불쌍해요 ㅠㅠ,1
21,고등회를 먹고싶게 만드는 한류 애니 영화 역사상 가장 위대한 영화,1
22,"방영당시 동시간대 하던 드라마들이 조금은 어두운소재를쓴 반면에, 아이두는 구두디자이너라는 색다른소재와 등장인물간의 풋풋한사랑을 다뤄 가볍게 접할수있던점이 좋았다. 10살차이가 나는데도 불구하고 케미가좋았던 두남녀주인공덕분에 다시 보고싶다ㅎㅎ",1
23,하아 극장에서 하다니 또 보러 가야지,1
24,13일금요일인 어제 스크린에서 봤는데 우리가족이 전부 OOO기라고 욕했다.,0
25,도대체 뭘 찍은 거니? 아프리카에서 낭만을 찾겠다고라고라고?? 소가 웃는다.,0
26,"진짜로 재밌고, 저런 일이 진짜 있었으면 좋겠어요",1
27,그다지 재미가 없구나...,0
28,루시리우 때문에 +1,0
29,아진짜..눈물펑펑 반전에 반전 이런영화를 왜 영화관에서 못봤을까 ㅠㅠ,1
30,기대안했는데 재밌다! 괜찮은 하이틴영화 두 주인공 외모 캐스팅 잘했음 남자연기 너무 웃김,1
31,끊어오르는 청춘들의 농익은 육체적 열망을 그린 영화.,0
32,크리스 터커의 말솜씨 여전하군여 ㅋㅋ,1
33,드라마 정말 재밌네여~특히 스케일 색감 bgm은 최고네여 갈수록 시청률 오를듯글고 광해의 내관 영신!! 이분연기 정말잘하시고 개그담당 ㅎㅎ 오늘부터 팬입니다^^,1
34,당시에 그 느낌으로 평점을 줬다면 다들 만점 줬을거면서 지금생각하면 유치하고 허술해보일테지만 그당시에는 얼마나 웃기고 재밋었는지 모를거야 파티의상만 봐도 웃기지않았나?,1
35,영화가 뭘말하려는지는 알겠는데 장르설정을바꾸는게 더 좋앗을거가틈..공포영화가 안무서움 난 공포찌질인데도 배깔고 봄...결론은 재미없다,0
36,어렸을때 가장 무서웠던건 공포영화도 아닌 이 영화였다 하지만 지금 다시보면 무섭다기보다는 슬펐다,1
37,남자주인공이 너무 딱딱해서 매력없음. 내용도 어정쩡...,0
38,볼만합니다~,1
39,누구나 다 아는 고문이야기 굳이 영화로 볼것까지야...,0
40,아우 유치하다.심해...초등생정도면 좋아할듯.?.절대 속편을 기대할수없는영화..제레미와 존 말코비치가 아깝다.,0
41,이 시리즈를 보면서 브루스 캠벨이 제4대 007이 되길 바랬다,1
42,다른 인생의 단편...,1
43,평점 높을 이유가 전혀 없는 영화. 산으로 가는 스토리는 범인으로서 도저히 이해 할 수가 없다.,0
44,옴청보고싶어햇던거라 받앗는데 뭔가이상해서 뭐지하고 쭈욱 56분 52초까지 보고 너무 미치겟어서 찾아봉께 영화 맥카닉 메카닉 두개엿음ㅋㅋ 심심한사람들보세요 평점 낮은영화들도 꼼꼼히찾아보며 대부분 액션작 범죄작들 죄다 본거같은데 이만한 심심한영화 없음,0
45,"여자아역배우,남자아역배우는 가장 기초적인 한글 발음도 제대로 안되고, 더 황당한 건 학교 담임으로 나오는 여자도 교사임에도 한글을 초딩처럼 읽어댐...기본적으로 대사를 통해 감정전달이나 느낌 전달을 포기해야하는 영화... 아역배우들은 연기 포기하길",0
46,그래서 엑소는 군대에 가야 합니다.,0
47,보면서 나는왜 이걸보고있는가?,0
48,스토리도 엉성하고 결말은 더 이상하고...평점이 왜이래 어이가 없다,0
49,대단하다... 내가 어이가 없고 빡쳐서 여기 별점테러한 영화는 이거랑 디워. 두 영화뿐이다. 본인들이 만들면서 '이건 아니다' 싶지 않나? 이따위걸 쪽팔려서 어떻게 지 이름걸고 내는지 참 신기할따름ㅋㅋ,0
50,역사와폭력은아직도되풀이된다,1
