id,text_ko,text_en
0,많은 것에 대해 배웠다. 캐리와 빅이 행복하길..♥,I learned so much. Wishing Carrie and Big every happiness ♥
10,완전 잼있고 감동적이에요!!ㅠㅠ 저 울었어요!!ㅠㅠ,Totally fun AND moving!! ㅠㅠ I cried!! ㅠㅠ
122,SF최고의 명작 이벤트호라이즌과 비교를 하는 사람이 있다니...A급을 C급에 운운하는 우를 범하지맙시다.,"Comparing this to Event Horizon, the greatest SF masterpiece... let's not insult an A-movie with a C-movie."
224,킹오파 영화랑 이거랑 비교해봐라 이게 훨씬 명작이다,Compare this with the King of Fighters movie — this one is a masterpiece by far.
614,완전좋아요 ㅎㅎ재밋구요 특히 진구의목소리가 예술이네요>=<,"Love it ㅎㅎ so fun, and Jingu's voice acting is a work of art >=<"
803,감독님 죄송해요 전 루저 동양인입니다..ㅠㅠ,"Sorry, director. I'm just a loser Asian guy.. ㅠㅠ"
912,구성이엉성.때문에내용의흐름과주인공의역경에공감하기어려움,"The structure is a mess, so it's hard to care about the plot or the hero's struggles."
956,신자 재미있어요 정말 오늘의연애는 노잼 핵쓰레기,"Rlly fun, for real. 'Today's Love'? Zero fun, nuclear-grade garbage."
1158,앜ㅋ미치겟다 넘웃곀ㅋㅋ중간엔 벤 스틸러가 안쓰러워서 도저히 눈뜨고 볼 수가없었음ㅠ보고있는 내가 다 힘겹더라 후ㅠ근데 나중엔 다 귀요미들임ㅋㅋ장인이고 사위고ㅋㅋ,"LOLOL I'm dying ㅋㅋ in the middle I couldn't even watch, I felt so bad for Ben Stiller ㅠ I struggled along with him, whew ㅠ but by the end they're all adorable ㅋㅋ father-in-law, son-in-law, everyone ㅋㅋ"
1166,"그립습니다.. 영화속의 그는 행복한 마무리를 했는데, 실제의 그는 아닌거 같아서 마음이 많이 아팠습니다.","I miss him.. In the film he gets a happy ending, but knowing real life wasn't like that broke my heart."
1500,"보는 내내 가슴이 두근두근, 감탄연발... 뭐 이런 영화가 다 있노?","My heart pounded the whole way through, gasp after gasp... how does a movie like this even exist?"
1593,같은시기에 만들어진 데드얼라이브와 비교하면 별로 .. -_- 웃기긴함 ㅋㅋ,"Compared to Dead Alive from the same era, meh .. -_- it is funny though ㅋㅋ"
1742,왜 이렇게 허접해... 아마추어가 만든 영화 같다.,Why is this so shoddy... feels like a movie made by amateurs.
2237,이거 재미없고 뻔한스토리에 억지눈물 짜내려는영화라고 머리에 각인되서 아직도 기억나네,"Burned into my brain as boring, predictable, and desperate to squeeze out tears. I still remember it that way."
2421,절대로비추!!ㅠㅠㅠㅠㅠ돈아까워눈물흘림,Absolutely do NOT recommend!! ㅠㅠㅠㅠ I cried over the wasted money.
2478,헐 이런내용이었음? 평점이나 올리자,"Wait, THAT's what this was about? Fine, raising the rating."
2679,기대하지않았지만역시나.,I didn't expect much. And yet.
2866,귀여운여인의 아름다운 성장을 보는듯하다 줄리아로버츠의 혼연일체된 연기력도!!,Like watching a Pretty Woman blossom in real time — Julia Roberts becomes the role completely!!
2992,원작이최고랍니다. 여기서는 흑인간수가 남자다움을 행사했을때 느끼는 그희열감빼곤 딱히...원작이대박,"The original is the best. Apart from that jolt when the Black guard flexes his manhood, this one has nothing much... the original is daebak."
3036,더 많은 사람들이 이 영화를 보길 희망함,I hope more people get to see this film.
